yaw_angle_raw,yaw_torque_raw,yaw_vel_motor,yaw_angle_imu,yaw_vel_imu,target_torque,target_velocity
3.09525,0.00293064,-0.0549469,-2.90074,-0.000349066,0,0
3.09515,-0.00879097,-0.0109901,-2.90074,-0.0015708,0,0
3.09515,-0.00293064,-0.0329666,-2.90074,0.0015708,0,0
3.09515,-0.00293064,-0.0109901,-2.90074,0.00575959,0,0
3.09515,-0.00293064,-0.0109901,-2.90074,0.0015708,0,0
3.09496,-0.00879097,0.0109901,-2.90056,0.00366519,0,0
3.09515,-0.00293064,-0.0109901,-2.90056,-0.000349066,0,0
3.09515,-0.00879097,0.0109901,-2.90074,-0.00994838,0,0
3.09496,-0.00293064,0.0109901,-2.90074,-0.000349066,0,0
3.09525,-0.00293064,-0.0549469,-2.90074,-0.000349066,0,0
3.09515,-0.00293064,-0.0329666,-2.90074,-0.00366519,0,0
3.09515,-0.00293064,-0.0109901,-2.90074,0.002618,0,0
3.09515,-0.00293064,-0.0109901,-2.90074,-0.002618,0,0
3.09515,-0.00879097,-0.0109901,-2.90074,0.00785398,0,0
3.09496,-0.00879097,0.0329666,-2.90056,0.00575959,0,0
3.09515,-0.00879097,-0.0109901,-2.90056,0.000523599,0,0
3.09506,-0.00879097,-0.0109901,-2.90056,0.00680679,0,0
3.09506,-0.00879097,0.0109901,-2.90056,-0.002618,0,0
3.09515,-0.00879097,-0.0109901,-2.90074,-0.0122173,0,0
3.09515,-0.00879097,-0.0329666,-2.90074,0.002618,0,0
3.09496,-0.00293064,0.0109901,-2.90056,0.00785398,0,0
3.09496,0.00293064,0.0109901,-2.90056,0.00471239,0,0
3.09515,-0.00293064,-0.0329666,-2.90056,-0.00680679,0,0
3.09515,-0.00293064,-0.0109901,-2.90074,-0.00366519,0,0
3.09515,-0.00879097,-0.0109901,-2.90056,0.0015708,0,0
3.09496,-0.00879097,0.0109901,-2.90056,0.00785398,0,0
3.09515,-0.00293064,-0.0109901,-2.90056,0.00575959,0,0
3.09515,-0.00293064,0.0109901,-2.90056,-0.002618,0,0
3.09506,-0.00293064,0.0109901,-2.90056,-0.0015708,0,0
3.09525,-0.00293064,-0.0549469,-2.90056,-0.002618,0,0
3.09525,-0.00879097,-0.0329666,-2.90056,0.00680679,0,0
