yaw_angle_raw,yaw_torque_raw,yaw_vel_motor,yaw_angle_imu,yaw_vel_imu,target_torque,target_velocity
3.09918,-0.00293064,0.0109901,-2.69374,-0.0345575,0,0
3.09899,-0.00293064,0.0329666,-2.69392,-0.0441568,0,0
3.09899,-0.00293064,-0.0109901,-2.69392,-0.045204,0,0
3.09879,0.00293064,0.0329666,-2.69409,-0.0418879,0,0
3.0987,-0.00293064,0.0549469,-2.69409,-0.0397935,0,0
3.09879,-0.00293064,0.0109901,-2.69409,-0.0335103,0,0
3.0986,0.00293064,0.0329666,-2.69427,-0.0335103,0,0
3.0986,-0.00293064,0.0329666,-2.69427,-0.045204,0,0
3.0986,0.00293064,0.0109901,-2.69444,-0.0441568,0,0
3.09841,0.00293064,0.0329666,-2.69444,-0.0356047,0,0
3.09851,0.00293064,0.0329666,-2.69461,-0.0324631,0,0
3.09841,0.00293064,0.0329666,-2.69461,-0.0356047,0,0
3.09841,-0.00293064,0.0109901,-2.69461,-0.0312414,0,0
3.09841,-0.00293064,0.0109901,-2.69479,-0.0324631,0,0
3.09822,-0.00879097,0.0329666,-2.69479,-0.0301942,0,0
3.09822,-0.00879097,0.0109901,-2.69479,-0.0249582,0,0
3.09812,-0.00879097,0.0329666,-2.69496,-0.0195477,0,0
3.09812,-0.00879097,0.0109901,-2.69496,-0.0301942,0,0
3.09803,-0.00879097,-0.0109901,-2.69496,-0.0335103,0,0
3.09784,-0.00293064,0.0329666,-2.69514,-0.0205949,0,0
3.09803,-0.00293064,0.0109901,-2.69514,-0.0270526,0,0
3.09793,0.00293064,0.0109901,-2.69514,-0.0280998,0,0
3.09784,-0.00293064,0.0109901,-2.69531,-0.0216421,0,0
3.09774,-0.00293064,0.0109901,-2.69531,-0.0249582,0,0
3.09784,-0.00879097,0.0109901,-2.69531,-0.0164061,0,0
3.09764,-0.00293064,0.0109901,-2.69531,-0.0164061,0,0
3.09784,-0.00293064,-0.0109901,-2.69531,-0.0174533,0,0
3.09774,-0.00879097,-0.0109901,-2.69549,-0.0249582,0,0
3.09774,-0.00879097,-0.0109901,-2.69549,-0.0164061,0,0
3.09764,-0.00879097,0.0109901,-2.69549,-0.0185005,0,0
3.09764,-0.00879097,0.0109901,-2.69549,-0.0174533,0,0
3.09745,-0.00879097,-0.0109901,-2.69549,-0.00994838,0,0
3.09755,-0.00879097,-0.0109901,-2.69566,-0.00994838,0,0
3.09745,-0.0146523,0.0109901,-2.69566,-0.0164061,0,0
3.09755,-0.00879097,0.0109901,-2.69566,-0.0164061,0,0
3.09755,-0.00879097,-0.0109901,-2.69566,-0.0122173,0,0
3.09755,-0.00879097,-0.0109901,-2.69566,-0.0109956,0,0
3.09745,-0.00879097,-0.0109901,-2.69566,-0.00575959,0,0
3.09745,-0.00293064,0.0109901,-2.69566,-0.0143117,0,0
3.09745,-0.00293064,-0.0109901,-2.69584,-0.00994838,0,0
3.09745,-0.00293064,-0.0109901,-2.69584,-0.000349066,0,0
3.09755,-0.00879097,-0.0329666,-2.69584,-0.000349066,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.0143117,0,0
3.09764,-0.00879097,0.0109901,-2.69584,-0.00994838,0,0
3.09745,-0.00879097,-0.0109901,-2.69584,-0.00994838,0,0
3.09755,-0.00879097,-0.0329666,-2.69584,-0.0132645,0,0
3.09745,-0.00879097,0.0109901,-2.69584,-0.00366519,0,0
3.09755,-0.0146523,-0.0109901,-2.69584,-0.002618,0,0
3.09755,-0.00879097,-0.0109901,-2.69584,-0.00680679,0,0
3.09755,-0.00293064,-0.0109901,-2.69584,0.000523599,0,0
3.09745,-0.00879097,0.0109901,-2.69584,-0.00471239,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,0.000523599,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,0.000523599,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.002618,0,0
3.09745,-0.00293064,-0.0109901,-2.69584,0.002618,0,0
3.09745,-0.00879097,-0.0109901,-2.69584,-0.000349066,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.002618,0,0
3.09755,-0.00879097,-0.0329666,-2.69584,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00471239,0,0
3.09755,0.00293064,-0.0109901,-2.69601,-0.0015708,0,0
3.09774,-0.00293064,-0.0109901,-2.69584,0.0111701,0,0
3.09764,-0.00293064,-0.0329666,-2.69584,0.0143117,0,0
3.09745,-0.00879097,-0.0109901,-2.69584,0.000523599,0,0
3.09755,-0.00879097,0.0109901,-2.69584,-0.002618,0,0
3.09764,-0.0146523,-0.0109901,-2.69584,-0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,-0.002618,0,0
3.09755,-0.00879097,-0.0329666,-2.69584,0.002618,0,0
3.09755,-0.00879097,-0.0329666,-2.69584,0.00785398,0,0
3.09764,-0.00293064,-0.0329666,-2.69584,-0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.00890118,0,0
3.09784,-0.00293064,-0.0329666,-2.69584,-0.00471239,0,0
3.09764,-0.00293064,0.0109901,-2.69584,0.0015708,0,0
3.09764,-0.00293064,0.0109901,-2.69584,0.00785398,0,0
3.09755,-0.00293064,-0.0109901,-2.69584,0.0015708,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,-0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,-0.00575959,0,0
3.09755,-0.00879097,-0.0109901,-2.69584,-0.0015708,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,0.00366519,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.000349066,0,0
3.09764,-0.00293064,0.0109901,-2.69584,-0.0015708,0,0
3.09764,-0.00293064,0.0109901,-2.69584,-0.00471239,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.000349066,0,0
3.09764,-0.00879097,-0.0329666,-2.69584,-0.000349066,0,0
3.09764,-0.00879097,-0.0329666,-2.69584,-0.002618,0,0
3.09784,-0.00879097,-0.0109901,-2.69584,0.00471239,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,-0.000349066,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,-0.00994838,0,0
3.09764,-0.00293064,0.0109901,-2.69601,-0.000349066,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,0.00575959,0,0
3.09764,-0.00879097,-0.0329666,-2.69584,0.00366519,0,0
3.09774,-0.00293064,-0.0329666,-2.69584,0.000523599,0,0
3.09764,-0.00293064,0.0109901,-2.69584,0.002618,0,0
3.09764,-0.00879097,-0.0329666,-2.69584,-0.00366519,0,0
3.09764,-0.00879097,-0.0329666,-2.69584,-0.0015708,0,0
3.09764,-0.00879097,-0.0329666,-2.69584,0.00680679,0,0
3.09764,-0.00879097,0.0109901,-2.69584,0.0015708,0,0
3.09774,-0.00293064,0.0109901,-2.69584,-0.000349066,0,0
3.09755,-0.00293064,-0.0109901,-2.69584,-0.00366519,0,0
3.09745,-0.00293064,-0.0109901,-2.69584,-0.00471239,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,0.0015708,0,0
3.09774,-0.00293064,-0.0109901,-2.69584,0.0015708,0,0
3.09774,-0.00293064,-0.0109901,-2.69584,0.002618,0,0
3.09774,-0.00293064,0.0109901,-2.69584,-0.00890118,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.00994838,0,0
3.09764,-0.00879097,0.0109901,-2.69601,0.0101229,0,0
3.09764,-0.0146523,-0.0109901,-2.69584,0.00907572,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,-0.00680679,0,0
3.09774,-0.00293064,-0.0109901,-2.69584,0.000523599,0,0
3.09764,-0.00879097,0.0109901,-2.69584,0.00575959,0,0
3.09755,-0.00879097,0.0109901,-2.69584,0.00575959,0,0
3.09774,-0.00879097,-0.0109901,-2.69584,-0.00575959,0,0
3.09764,-0.0146523,-0.0329666,-2.69584,0.000523599,0,0
3.09755,-0.00879097,-0.0329666,-2.69584,-0.00366519,0,0
3.09764,-0.00293064,0.0109901,-2.69584,0.002618,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.002618,0,0
3.09774,-0.00293064,-0.0329666,-2.69584,0.00575959,0,0
3.09764,0.00293064,-0.0109901,-2.69584,-0.002618,0,0
3.09764,-0.00293064,-0.0329666,-2.69584,-0.00471239,0,0
3.09774,-0.00293064,-0.0329666,-2.69584,0.0015708,0,0
3.09764,-0.00293064,0.0109901,-2.69584,-0.0015708,0,0
3.09764,-0.00879097,0.0109901,-2.69584,0.000523599,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,-0.002618,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.00994838,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00879097,0.0109901,-2.69601,0.00471239,0,0
3.09755,-0.00879097,-0.0329666,-2.69601,0.0111701,0,0
3.09764,-0.00879097,-0.0109901,-2.69584,0.0143117,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.00890118,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.0109956,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00471239,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.00907572,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00471239,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,0.00785398,0,0
3.09774,-0.00293064,-0.0109901,-2.69584,0.0015708,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,-0.00366519,0,0
3.09764,-0.00293064,0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00293064,0.0109901,-2.69601,0.002618,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.000523599,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.002618,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00785398,0,0
3.09764,-0.00293064,0.0109901,-2.69584,0.0101229,0,0
3.09764,-0.00293064,-0.0109901,-2.69584,-0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00994838,0,0
3.09774,0.00293064,-0.0109901,-2.69601,0.000523599,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,0.00366519,0,0
3.09774,-0.00879097,-0.0329666,-2.69584,0.0101229,0,0
3.09755,-0.00293064,-0.0109901,-2.69584,-0.0015708,0,0
3.09764,-0.00879097,0.0109901,-2.69584,-0.00471239,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00366519,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00680679,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09784,-0.00293064,-0.0109901,-2.69601,-0.000349066,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00366519,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00471239,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.00785398,0,0
3.09774,-0.00293064,0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00366519,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.00366519,0,0
3.09764,-0.0146523,0.0109901,-2.69601,-0.00471239,0,0
3.09764,-0.0146523,-0.0109901,-2.69601,-0.000349066,0,0
3.09774,-0.00879097,0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00879097,0.0109901,-2.69601,-0.00366519,0,0
3.09784,-0.00879097,-0.0329666,-2.69601,0.00575959,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.002618,0,0
3.09784,-0.00293064,-0.0109901,-2.69601,-0.00366519,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00366519,0,0
3.09764,-0.00293064,0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.000523599,0,0
3.09774,-0.0146523,-0.0109901,-2.69601,-0.00890118,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,-0.00471239,0,0
3.09764,-0.00879097,0.0109901,-2.69601,0.00680679,0,0
3.09774,-0.0146523,-0.0329666,-2.69601,0.0111701,0,0
3.09774,-0.00879097,0.0109901,-2.69601,-0.000349066,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.00680679,0,0
3.09764,-0.00879097,0.0109901,-2.69601,0.0101229,0,0
3.09784,0.00293064,0.0109901,-2.69601,0.00366519,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.000523599,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.002618,0,0
3.09755,-0.00879097,0.0109901,-2.69601,-0.00890118,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00785398,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.000523599,0,0
3.09774,-0.00293064,-0.0329666,-2.69601,-0.002618,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,0.00366519,0,0
3.09774,-0.00879097,0.0109901,-2.69601,-0.0015708,0,0
3.09755,-0.00879097,0.0109901,-2.69601,-0.0015708,0,0
3.09764,-0.00879097,0.0109901,-2.69601,-0.00890118,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00471239,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.002618,0,0
3.09764,0.00293064,-0.0329666,-2.69601,-0.00785398,0,0
3.09774,-0.00293064,0.0109901,-2.69601,-0.00890118,0,0
3.09774,0.00293064,-0.0109901,-2.69601,0.00680679,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00907572,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,0.000523599,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00366519,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.00575959,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,0.000523599,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.002618,0,0
3.09784,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09774,-0.00293064,-0.0329666,-2.69601,0.00680679,0,0
3.09774,-0.00293064,0.0109901,-2.69601,0.002618,0,0
3.09774,0.00293064,-0.0109901,-2.69601,0.00366519,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00907572,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.00680679,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00471239,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00879097,0.0109901,-2.69601,-0.0015708,0,0
3.09764,-0.0146523,-0.0109901,-2.69601,-0.00366519,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,-0.000349066,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,0.000523599,0,0
3.09764,-0.0146523,-0.0109901,-2.69601,0.000523599,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.000349066,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,0.000523599,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.0015708,0,0
3.09774,-0.00293064,-0.0329666,-2.69601,0.000523599,0,0
3.09784,-0.00293064,-0.0109901,-2.69601,-0.000349066,0,0
3.09784,-0.00293064,0.0109901,-2.69601,0.002618,0,0
3.09774,-0.00879097,0.0329666,-2.69601,0.0015708,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,-0.00366519,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.0015708,0,0
3.09784,-0.00879097,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.00366519,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.002618,0,0
3.09784,-0.00879097,-0.0329666,-2.69601,-0.00366519,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,0.00366519,0,0
3.09774,-0.00879097,0.0109901,-2.69601,-0.000349066,0,0
3.09774,-0.00293064,0.0109901,-2.69601,0.0015708,0,0
3.09755,-0.00293064,-0.0109901,-2.69601,0.0111701,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00890118,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.002618,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,0.00680679,0,0
3.09764,-0.00293064,-0.0549469,-2.69601,0.000523599,0,0
3.09764,-0.00293064,0.0109901,-2.69601,0.00575959,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,0.00575959,0,0
3.09764,-0.00293064,0.0109901,-2.69601,-0.00575959,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,-0.000349066,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00471239,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09774,-0.00293064,-0.0329666,-2.69601,0.00575959,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.0153589,0,0
3.09774,-0.00879097,0.0109901,-2.69601,-0.00680679,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,-0.00366519,0,0
3.09764,-0.00879097,0.0109901,-2.69601,0.002618,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,0.0143117,0,0
3.09784,-0.00879097,-0.0109901,-2.69601,0.00680679,0,0
3.09784,-0.00879097,-0.0329666,-2.69601,0.00366519,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00785398,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.00785398,0,0
3.09764,0.00293064,-0.0109901,-2.69601,0.00366519,0,0
3.09764,0.00293064,-0.0109901,-2.69601,-0.00471239,0,0
3.09755,-0.00293064,-0.0109901,-2.69601,-0.00366519,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.000349066,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,-0.000349066,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.0111701,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.002618,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,-0.00680679,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,-0.00890118,0,0
3.09774,-0.00293064,0.0109901,-2.69601,0.000523599,0,0
3.09784,0.00293064,-0.0329666,-2.69601,0.00366519,0,0
3.09764,0.00293064,0.0109901,-2.69601,0.00575959,0,0
3.09764,0.00293064,-0.0329666,-2.69601,0.00471239,0,0
3.09764,0.00293064,0.0109901,-2.69601,0.00471239,0,0
3.09784,0.00293064,-0.0549469,-2.69601,-0.000349066,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.000349066,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.00785398,0,0
3.09774,-0.00293064,-0.0329666,-2.69601,-0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.00366519,0,0
3.09764,-0.00879097,0.0109901,-2.69601,-0.00680679,0,0
3.09784,-0.00879097,-0.0109901,-2.69601,0.00366519,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.00366519,0,0
3.09784,-0.00879097,0.0109901,-2.69601,-0.00680679,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.0015708,0,0
3.09784,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09774,-0.00293064,-0.0329666,-2.69601,0.0015708,0,0
3.09755,-0.00879097,-0.0109901,-2.69601,-0.00471239,0,0
3.09784,-0.00879097,-0.0109901,-2.69601,-0.00575959,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.0101229,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09764,0.00293064,0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00366519,0,0
3.09755,-0.00879097,-0.0109901,-2.69601,0.0015708,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.0015708,0,0
3.09764,-0.00293064,0.0109901,-2.69601,-0.0015708,0,0
3.09755,-0.00293064,-0.0109901,-2.69601,0.000523599,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.0015708,0,0
3.09764,0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.00785398,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,0.000523599,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.0143117,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.000349066,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,0.00471239,0,0
3.09774,-0.00293064,0.0109901,-2.69601,-0.002618,0,0
3.09764,-0.00879097,0.0109901,-2.69601,-0.0015708,0,0
3.09784,-0.00879097,-0.0109901,-2.69601,0.00680679,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.00907572,0,0
3.09774,-0.00293064,0.0109901,-2.69601,0.002618,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00471239,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,-0.00575959,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.000349066,0,0
3.09764,-0.00879097,-0.0329666,-2.69601,0.00785398,0,0
3.09784,-0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09764,-0.00879097,0.0109901,-2.69601,0.00680679,0,0
3.09774,-0.0146523,-0.0109901,-2.69601,0.00366519,0,0
3.09774,-0.0146523,0.0109901,-2.69601,-0.00366519,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.002618,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.000523599,0,0
3.09774,-0.00293064,0.0109901,-2.69601,-0.00471239,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,0.000523599,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,0.000523599,0,0
3.09784,-0.00293064,-0.0329666,-2.69601,0.00366519,0,0
3.09784,0.00293064,-0.0329666,-2.69601,0.00471239,0,0
3.09774,0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09774,0.00293064,0.0109901,-2.69601,-0.000349066,0,0
3.09764,0.00293064,-0.0109901,-2.69601,0.00366519,0,0
3.09764,-0.00293064,0.0329666,-2.69601,0.00680679,0,0
3.09764,-0.00293064,-0.0109901,-2.69601,0.0015708,0,0
3.09755,-0.00879097,0.0109901,-2.69601,-0.000349066,0,0
3.09774,-0.00879097,-0.0109901,-2.69601,0.0122173,0,0
3.09774,0.00293064,-0.0109901,-2.69584,0.0111701,0,0
3.09764,-0.00293064,-0.0329666,-2.69601,-0.00785398,0,0
3.09774,-0.00293064,-0.0109901,-2.69601,-0.002618,0,0
3.09774,-0.00879097,-0.0329666,-2.69601,0.000523599,0,0
3.09764,-0.00879097,-0.0109901,-2.69601,-0.002618,0,0
3.09774,-0.00879097,0.0109901,-2.69601,-0.002618,0,0
3.09764,0.00293064,-0.0109901,-2.69601,0.002618,0,0
